,JNAME,P0,DECJ,Flux,W50
27,J0024-7204Z,0.004554447383905912,-72:05:01.480,NaN,NaN
28,J0030+0451,0.0048654532112551154,+04:51:39.7278,1.4951751840089285,NaN
29,J0034-0534,0.001877181884585,-05:34:36.722,1.5200947704090775,0.65
30,J0034-0721,0.9429509945597656,-07:21:53.409,6.0,23.4
31,J0038-2501,0.2569264575329,-25:01:30.73,NaN,NaN
32,J0043-73,NaN,-73:00:00,Nan,NaN
33,J0045-7042,0.63233580002,-70:42:07.1,0.27411545040163693,19.0
34,J0045-7319,0.92627590497,-73:19:03.0,0.7475875920044642,20.0
35,J0048+3412,1.2170942960575557,+34:12:08.0472,NaN,21.7
36,J0050+03,1.36656,+03:48,NaN,33.0
37,J0051+0423,0.3547317989,04:22:49,1.2459793200074405,25.6
38,J0052-72,NaN,-72:00:00,Nan,NaN
39,J0057-7201,0.7380624426,-72:01:19,NaN,NaN
40,J0100-7211,8.020392,-72:11:33.6,NaN,NaN
41,J0101-6422,0.0025731519721683,-64:22:30.171,0.6977484192041667,NaN
42,J0107+13,1.1974,+13:25,NaN,36.0
43,J0108-1431,0.807564614019424,-14:31:50.1871,3.4887420960208333,26.0
44,J0111-7131,0.68854151164,-71:31:46.8,0.14951751840089286,13.0
45,J0113-7220,0.32588301613,-72:20:32.20,0.9967834560059524,NaN
46,J0122+1416,NaN,+14:16:00,Nan,NaN
47,J0125-23,0.00367586,-23:27:26,NaN,NaN
48,J0131-7310,0.348124045581,-73:10:09.34,0.3737937960022321,4.8
49,J0133-6957,0.463473741703,-69:57:29.68,NaN,8.0
50,J0134-2937,0.13696161051365074,-29:37:17.042,9.0,14.2
51,J0137+1654,0.4147630265082,+16:54:42.1,NaN,14.0
52,J0139+3336,NaN,+33:36:00,Nan,NaN
53,J0146+31,0.9381,+31:04,NaN,20.0
54,J0151-0635,1.464664549333674,-06:35:02.987,6.0,30.5
55,J0152+0948,2.74664729014,+09:48:10,NaN,11.0
56,J0152-1637,0.8327416126877758,-16:37:53.641,3.0,8.1
57,J0154+1833,0.0023645697763005993,+18:33:50.758,NaN,NaN
58,J0156+04,NaN,+04:02,NaN,3.8
59,J0158+21,0.5053,+21:08,NaN,NaN
60,J0206-4028,0.6305512595685335,-40:28:03.62,2.2,4.6
61,J0211-8159,1.0773327013,-81:59:36.2,0.7475875920044642,48.5
62,J0229+20,0.8069,+20:58,NaN,NaN
63,J0241+16,1.5454,+16:04,NaN,NaN
64,J0244+14,2.1281,+14:27,NaN,NaN
65,J0251+26,0.00254,+26:05,NaN,NaN
66,J0255-5304,0.44770847319884904,-53:04:21.275,7.0,6.6
67,J0302+2252,NaN,+22:52:00,Nan,NaN
68,J0304+1932,1.387584446262276,19:32:51.4,37.6285754642247,42.0
69,J0305+11,0.8621,+11:23,NaN,26.0
70,J0317+13,1.9743,+13:29,NaN,20.0
71,J0329+1654,0.893319660649,+16:54:02,NaN,17.0
72,J0337+1715,0.0027325886324418656,+17:15:14.828,NaN,NaN
73,J0343-3000,2.59702715738,-30:00:27.5,3.2395462320193453,35.3
74,J0348+0432,0.03912265690178056,+04:32:11.4580,NaN,0.63
