,JNAME,P0,DECJ,Flux,W50
87,J1046-5813,0.36942808789417764,-58:13:52.0,4.1,8.2
88,J1047-6709,0.1984514505627,-67:09:51.066,7.725071784046131,2.2
89,J1048-5832,0.12372534335125973,-58:32:06.2,13.5,19.5
90,J1049-5833,2.20232507704329,-58:33:44.6,1.7443710480104166,30.0
91,J1056-6258,0.4224505316190333,-62:58:47.69,59.0,15.9
92,J1057-5226,0.19711468957450884,-52:26:56.33,20.0,
93,J1057-7914,1.3474021612,-79:14:24.2,1.4951751840089285,21.0
94,J1058-5957,0.616270272343,-59:57:36.4,1.4951751840089285,15.6
95,J1059-5742,1.1850026197561547,-57:42:14.5,5.1,5.3
96,J1105-6107,0.06320213091790895,-61:07:48.94,2.4,18.6
97,J1110-5637,0.5582543734583949,-56:37:32.6,5.4,14.9
98,J1112-6613,0.33421283978,-66:13:04.8,4.236329688025298,13.1
99,J1112-6926,0.82048420411,-69:26:31.0,1.4951751840089285,24.8
100,J1114-6100,0.88081962549,-61:00:34.2,11.712205608069942,27.4
101,J1116-4122,0.943157882843,-41:22:43.96,7.0,5.3
102,J1117-6154,0.50509714918,-61:54:22,3.9871338240238097,3.9
103,J1119-7936,2.2805971963,-79:36:30.3,1.7443710480104166,35.5
104,J1121-5444,0.5357865139154964,-54:44:05.1,5.1,5.2
105,J1123-6259,0.2714340521989345,-62:59:10.74,1.2708989064075893,5.3
106,J1126-6054,0.202736911853,-60:54:39.96,3.4887420960208333,3.5
107,J1126-6942,0.579416438,-69:42:15.3,0.7475875920044642,7.9
108,J1133-6250,1.02287514082,-62:50:50.6,17.443710480104166,257.7
109,J1136+1551,1.1879130659363586,+15:51:14.183,90.0,10.1
110,J1136-5525,0.36471324916608333,-55:25:06.9,14.0,14.1
111,J1141-3322,0.29146753651085605,-33:22:37.4286,3.9871338240238097,10.9
112,J1141-6545,0.3938988148377834,-65:45:19.1131,8.5,8.7
113,J1146-6030,0.27337450864355883,-60:30:59.49,8.5,15.5
114,J1157-6224,0.4005257166957991,-62:24:50.93,34.0,10.8
115,J1202-5820,0.45280309753690035,-58:20:33.64,10.1,7.1
116,J1210-5559,0.2797678686531765,-55:59:03.87,4.9,7.1
117,J1224-6407,0.21648082548738776,-64:07:53.834,19.0,7.8
118,J1225-6408,0.4196177915,-64:08:43,4.485525552026786,4.5
119,J1231-6303,1.3512362992,-63:03:18,3.7379379600223217,174.2
120,J1237-6725,2.11097411794,-67:25:33.9,0.9967834560059524,53.4
121,J1239-6832,1.3019225298980932,-68:32:30.0,3.5,6.4
122,J1243-6423,0.38848512711014244,-64:23:23.73,119.0,5.3
123,J1253-5820,0.2554963274098,-58:20:40.89,8.3,7.5
124,J1257-1027,0.6173076699954868,-10:27:05.551,2.990350368017857,6.0
125,J1259-6741,0.6633290494,-67:41:40,3.2395462320193453,21.4
126,J1302-6350,0.04776250754158053,-63:50:08.62859,4.7,
127,J1303-6305,2.3066415539322183,-63:05:00.8,0.8971051104053571,38.0
128,J1305-6455,0.5716517897286989,-64:55:28.3,9.0,8.1
129,J1306-6617,0.473026470689,-66:17:21.8,13.0,27.6
130,J1312-5402,0.7281543942690664,-54:02:42.6,3.7,13.2
131,J1312-5516,0.8492425970485211,-55:16:48.0,8.5,8.3
