,JNAME,P0,DECJ,Flux,W50
378,J1910-0309,0.5046060554148478,-03:09:53.8,5.1,5.0
379,J1913+1400,0.5214727140816718,+14:00:52.559,2.990350368017857,6.2
380,J1913-0440,0.8259358030956224,-04:40:47.68,21.0,3.8
381,J1915+1009,0.40455176743998844,+10:09:43.37,3.7,4.9
382,J1916+0951,0.27025443956449635,+09:51:25.9827,5.9,12.9
383,J1916+1312,0.28184240740449334,+13:12:50.0221,5.3,7.2
384,J1917+1353,0.1946309827982991,+13:53:57.077,16.94531875210119,3.8
385,J1918-0642,0.007645872769642047,-06:42:34.8956,1.4453360112086309,0.74
386,J1919+0021,1.2722603747058854,+00:21:39.722,4.1,4.8
387,J1920+1040,2.215801738886563,+10:40:31,1.420416424808482,45.0
388,J1926+0431,1.0740781735974274,+04:31:31.6521,3.5,5.2
389,J1932+1059,0.2265187466567967,+10:59:33.38,60.0,10.7
390,J1932-3655,0.5714203197,-36:55:02.1,1.7443710480104166,5.1
391,J1935+1616,0.35873841076961044,+16:16:39.986,144.0352093928601,6.0
392,J1941-2602,0.40285790887542816,-26:02:05.75,6.2,3.3
393,J1943-1237,0.9724288509135829,-12:37:42.4115,2.8,4.1
394,J1945-0040,1.0456324447715093,-00:40:58.0674,1.9935669120119048,50.0
395,J1946-2913,0.959447931541423,-29:13:47.1,3.4,5.5
396,J1949-2524,0.9576166302906218,-25:24:00.9747,2.2,4.2
397,J2006-0807,0.580871337030867,-08:07:02.167,6.9,54.4
398,J2033+0042,5.013400111608915,+00:42:23,2.5,5.9
399,J2038-3816,1.5772861505,-38:16:11.9,0.7475875920044642,24.5
400,J2046+1540,1.1382856833155095,+15:40:33.558,4.236329688025298,9.6
401,J2046-0421,1.5469381168652414,-04:21:26.256,4.4,4.9
402,J2048-1616,1.9615723036126127,-16:16:44.55350,23.0,13.3
403,J2051-0827,0.0045086418200064255,-08:27:37.7497,6.977484192041667,0.44
404,J2053-7200,0.3413364057236207,-72:00:42.45,8.0,27.6
405,J2116+1414,0.4401530669474793,14:14:21.04,3.5,7.1
406,J2129-5721,0.003726348483867234,-57:21:14.21183,3.1897070592190477,0.262
407,J2144-3933,8.509827491,-39:33:56.88504,2.2,2.7
408,J2145-0750,0.0160524239193813,-07:50:18.514,15.0,79.9
409,J2155-3118,1.03000211203956,-31:18:54.6652,2.1,6.1
410,J2222-0137,0.03281785905434283,-01:37:15.72441,2.7,6.7
411,J2241-5236,0.002186699771552793,-52:36:36.2260,3.6,11.8
412,J2248-0101,0.4772331191229628,-01:01:48.085,1.2459793200074405,8.4
413,J2324-6054,2.3474883631415757,-60:54:05.8,2.3,7.4
414,J2330-2005,1.6436221853269488,-20:05:29.63,4.0,5.2
415,J2346-0609,1.1814633829674592,-06:09:59.899,5.2,16.9
